Id,hex_id,bra,,,,,,,,,
56741,56741,1,,,,,,,,,
56787,56787,1,,,,,,,,,
56788,56788,1,,,,,,,,,
56799,56799,1,,,,,,,,,
56800,56800,1,,,,,,,,,
56801,56801,1,,,,,,,,,
56802,56802,1,,,,,,,,,
57099,57099,1,,,,,,,,,
57100,57100,1,,,,,,,,,
57101,57101,1,,,,,,,,,
57102,57102,1,,,,,,,,,
57147,57147,1,,,,,,,,,
57148,57148,1,,,,,,,,,
57150,57150,1,,,,,,,,,
57151,57151,1,,,,,,,,,
57160,57160,1,,,,,,,,,
57161,57161,1,,,,,,,,,
57162,57162,1,,,,,,,,,
57163,57163,1,,,,,,,,,
57460,57460,1,,,,,,,,,
57461,57461,1,,,,,,,,,
57462,57462,1,,,,,,,,,
57463,57463,1,,,,,,,,,
57509,57509,1,,,,,,,,,
57510,57510,1,,,,,,,,,
57511,57511,1,,,,,,,,,
57512,57512,1,,,,,,,,,
57521,57521,1,,,,,,,,,
57522,57522,1,,,,,,,,,
57523,57523,1,,,,,,,,,
57524,57524,1,,,,,,,,,
57821,57821,1,,,,,,,,,
57822,57822,1,,,,,,,,,
57823,57823,1,,,,,,,,,
57824,57824,1,,,,,,,,,
57865,57865,1,,,,,,,,,
57870,57870,1,,,,,,,,,
57871,57871,1,,,,,,,,,
57884,57884,1,,,,,,,,,
57885,57885,1,,,,,,,,,
58182,58182,1,,,,,,,,,
58183,58183,1,,,,,,,,,
58184,58184,1,,,,,,,,,
58185,58185,1,,,,,,,,,
58227,58227,1,,,,,,,,,
58228,58228,1,,,,,,,,,
58244,58244,1,,,,,,,,,
58245,58245,1,,,,,,,,,
58544,58544,1,,,,,,,,,
58545,58545,1,,,,,,,,,
58546,58546,1,,,,,,,,,
58547,58547,1,,,,,,,,,
58548,58548,1,,,,,,,,,
58584,58584,1,,,,,,,,,
58585,58585,1,,,,,,,,,
58586,58586,1,,,,,,,,,
58587,58587,1,,,,,,,,,
58588,58588,1,,,,,,,,,
58604,58604,1,,,,,,,,,
