hex_id,gridcode,area
199,17,4.059400494
200,17,4.059401577
201,17,4.059401577
202,17,4.059400494
203,17,4.059400494
204,17,4.059401577
205,17,4.059401577
206,17,4.059400494
207,17,4.059400494
208,17,4.059401577
209,17,4.059401577
210,17,4.059400494
211,17,4.059401577
212,17,4.059401577
213,17,4.059400494
214,17,4.059400494
215,17,4.059401577
216,17,4.059401577
217,17,3.585731438
218,8,1.716354638
219,8,2.085038035
220,3,2.519931508
221,8,2.17341283
222,8,2.080634362
223,3,3.0437649
224,6,2.013267968
225,3,3.026734136
226,3,3.605610081
227,3,1.415748888
228,3,1.658719632
229,17,4.059400494
230,17,2.757712357
231,17,3.642003717
232,8,1.051240439
233,8,2.275054816
234,3,2.795676989
235,3,2.05172024
236,3,3.259756871
237,3,1.791134232
238,6,2.890134841
239,6,4.059400494
240,6,4.059400494
241,6,3.750879633
242,6,3.923753489
243,6,4.059400494
244,6,3.379283325
245,8,2.668797014
246,8,3.423512308
247,8,4.059400494
248,8,3.599216516
249,8,3.869226012
250,8,3.56580772
251,8,2.93456099
252,8,4.059401577
253,8,4.059401577
254,8,4.059400494
255,8,4.059401577
256,8,4.059401577
257,8,4.059400494
258,8,4.059400494
259,8,4.059401577
260,9,2.13843204
261,14,2.358872358
262,12,3.797313172
263,12,3.983160581
264,12,1.976565237
265,12,4.059400494
266,12,2.162545913
267,12,3.007110915
268,6,3.444711528
269,6,1.436476605
270,6,2.862090172
271,9,2.1207355
272,12,2.497326308
273,9,2.089454626
274,8,4.005274534
275,8,3.905140847
276,8,4.059400494
277,8,1.856313626
278,6,1.945503814
279,12,1.442692021
280,9,1.709266323
281,6,3.964337307
282,6,4.059401577
283,6,4.059400494
284,6,4.059400494
285,6,3.872631554
286,6,2.157959558
287,6,1.799839834
288,6,4.059401577
289,6,3.307400149
290,6,4.041680409
291,6,4.059400494
292,6,4.059401577
293,8,2.235303176
294,8,4.059400494
295,8,2.658104694
296,8,3.359918223
297,8,4.059401577
298,8,4.059400494
299,8,4.059401577
300,8,3.834566145
301,6,3.597974596
302,9,1.498148183
303,8,3.589654501
304,8,4.059401577
305,8,3.13886296
306,6,2.367806793
307,6,2.535954576
308,6,2.64353652
309,6,2.833041084
310,6,4.059401577
311,6,2.224898519
312,14,1.179977706
313,9,1.6219983249999999
314,6,3.649952414
315,6,4.059401577
316,6,3.263578859
317,6,4.059400494
318,6,4.059401577
319,6,3.131513807
320,6,2.475352104
321,9,2.297903749
322,6,3.8046503
323,9,1.687773149
324,9,1.8682395019999998
325,12,1.568955
326,9,2.583091041
327,6,2.119222253
328,6,4.059400494
329,6,4.059401577
330,6,4.059401577
331,6,3.123550032
332,6,3.559949117
333,12,3.441283458
334,12,3.594811919
335,9,2.793351037
336,9,3.286303771
337,9,2.178473203
338,9,2.166502298
339,9,3.389604942
340,9,2.636229223
341,6,2.387063634
342,9,2.575509623
343,9,2.298314536
344,9,3.95050244
345,9,4.059400494
346,9,4.059400494
